pair_id	chain_ptm_a	chain_ptm_b	min_pae_ab	ptm	iptm
pos_q6pcx7_q9quk6	0.53	0.68	18.58	0.53	0.2
pos_q7ts72_p56501	0.41	0.6	18.65	0.34	0.2
pos_q7ts72_q8k394	0.41	0.76	21.45	0.56	0.2
pos_q7ts72_q922b6	0.41	0.49	15.96	0.35	0.2
pos_q80wt2_q71fd5	0.18	0.33	9.78	0.22	0.2
pos_q8bxk4_q9d1f4	0.69	0.29	15.81	0.49	0.2
pos_q8cek7_q9dam5	0.26	0.75	15.4	0.64	0.2
pos_q8r104_q60932	0.75	0.71	14.74	0.5	0.2
pos_q8r104_q60932	0.75	0.71	14.77	0.5	0.2
pos_q8r104_q60932	0.75	0.71	13.41	0.5	0.2
pos_q8vee1_p97305	0.77	0.28	22.35	0.33	0.2
pos_q922m5_q61584	0.32	0.32	14.96	0.26	0.2
pos_q924z4_q9d5h4	0.68	0.66	13.6	0.5	0.2
pos_q99ki0_q8r104	0.85	0.77	19.39	0.66	0.2
pos_q9d2g2_q9jlf6	0.52	0.77	18.81	0.57	0.2
pos_q9wti7_p70335	0.61	0.36	28.27	0.4	0.2
pos_q9wue4_q6nta4	0.54	0.61	15.15	0.41	0.2
pos_q9z0l4_p97466	0.57	0.62	17.18	0.42	0.2
pos_q9z0l4_q64279	0.64	0.3	16.5	0.47	0.2
pos_o08586_q9wuh5	0.75	0.43	19.84	0.44	0.2
pos_o70551_q6pdm2	0.64	0.36	17.58	0.53	0.2
pos_p05017_p21981	0.33	0.78	16.21	0.67	0.2
pos_p23242_p60324	0.53	0.31	11.7	0.41	0.2
pos_p24270_q6pcm1	0.85	0.5	16.94	0.43	0.2
pos_p24270_q9jhi8	0.84	0.65	24.78	0.51	0.2
pos_p28301_p04202	0.49	0.56	16.07	0.38	0.2
pos_p29754_q8ciz9	0.69	0.63	15.28	0.47	0.2
pos_p31750_p05622	0.64	0.39	21.05	0.33	0.2
pos_p31750_p19785	0.72	0.46	19.47	0.42	0.2
pos_p31750_q62523	0.71	0.27	16.59	0.42	0.2
pos_p31750_q8c863	0.66	0.51	17.53	0.4	0.2
pos_p41160_p34152	0.67	0.52	23.95	0.48	0.2
pos_p41233_p08226	0.76	0.36	29	0.7	0.2
pos_p42225_p30051	0.72	0.51	20.86	0.53	0.2
pos_p47746_q8r4b8	0.58	0.49	14.75	0.42	0.2
pos_p54761_q921j2	0.4	0.73	24.32	0.38	0.2
pos_p54763_p16092	0.36	0.4	7.47	0.3	0.2
pos_p70390_p70326	0.24	0.41	13.22	0.33	0.2
pos_p97297_o35206	0.16	0.27	18.13	0.27	0.2
pos_q04207_q8vdq8	0.44	0.7	12.93	0.39	0.2
pos_q08369_q62073	0.16	0.49	12.21	0.35	0.2
pos_q3v3i2_p60324	0.59	0.33	7.92	0.47	0.2
pos_q60795_p28700	0.22	0.45	17.05	0.29	0.2
pos_q76mz3_q9cxl1	0.76	0.72	21.18	0.65	0.2
pos_q8c863_q9jjp2	0.47	0.37	15.91	0.36	0.2
pos_q8r4b8_q8bh57	0.5	0.78	23.38	0.44	0.2
pos_q923e4_o89090	0.48	0.18	14.75	0.34	0.2
pos_q9eqp2_q9et77	0.62	0.44	13.9	0.37	0.2
pos_q9jhi8_q9wvc6	0.68	0.6	18.87	0.49	0.2
pos_q9jk92_p42227	0.37	0.7	14.97	0.6	0.2
pos_q9wv60_q61221	0.79	0.42	23.36	0.38	0.2
pos_o08715_s4r2p9	0.29	0.56	18.3	0.41	0.2
pos_o35219_o88974	0.41	0.41	16.02	0.33	0.2
pos_o70138_p04202	0.65	0.55	18.92	0.46	0.2
pos_p05622_q9epz6	0.39	0.34	18.67	0.33	0.2
pos_p11103_p42227	0.65	0.68	20.73	0.47	0.2
pos_p13297_q03358	0.27	0.29	9.11	0.25	0.2
pos_p15379_p01590	0.28	0.52	10.8	0.27	0.2
pos_p23242_p05480	0.54	0.61	17.08	0.43	0.2
pos_p31750_q60751	0.6	0.37	20.85	0.34	0.2
pos_p31750_q76mz3	0.67	0.76	23.61	0.53	0.2
pos_p54763_p34152	0.36	0.43	23.2	0.33	0.2
pos_p70424_p26450	0.48	0.32	21.56	0.39	0.2
pos_q01279_q00731	0.38	0.27	16.14	0.34	0.2
pos_q62073_q62312	0.48	0.53	10.73	0.35	0.2
pos_q8cjg0_o08715	0.82	0.3	26.55	0.51	0.2
pos_q91ys8_p35396	0.66	0.59	16.77	0.42	0.2
pos_q923i7_q61165	0.72	0.57	25.64	0.46	0.2
pos_o35565_p63015	0.6	0.23	11.7	0.31	0.2
pos_o35598_o35607	0.58	0.36	13.24	0.37	0.2
pos_o35739_q60795	0.28	0.23	7.93	0.24	0.2
pos_o55102_q8r104	0.35	0.76	16.21	0.63	0.2
pos_p05125_q8cgb6	0.17	0.35	20.39	0.34	0.2
pos_p06684_o08859	0.63	0.47	27.04	0.58	0.2
pos_p07724_q01279	0.79	0.38	23.82	0.4	0.2
pos_p0dp26_q01279	0.41	0.42	24.08	0.41	0.2
pos_p10749_p30875	0.52	0.71	13.87	0.49	0.2
pos_p11247_q9jhi8	0.85	0.68	21.45	0.58	0.2
pos_p16858_p11103	0.9	0.64	24.32	0.54	0.2
pos_p22366_q9cun6	0.45	0.41	21.26	0.34	0.2
pos_p25911_q6nzl8	0.69	0.57	26.05	0.46	0.2
pos_p26450_q9qui0	0.32	0.78	16.92	0.3	0.2
pos_p31041_p35235	0.51	0.67	17.39	0.55	0.2
pos_p47873_q9jhi0	0.69	0.4	15.79	0.33	0.2
pos_p48301_q8c0v0	0.48	0.56	10.55	0.43	0.2
pos_p51667_q3tl44	0.29	0.67	18.88	0.61	0.2
pos_p70302_q8bjs4	0.28	0.31	13.26	0.25	0.2
pos_q01279_p52332	0.33	0.69	23.63	0.47	0.2
pos_q08857_p23204	0.84	0.55	15.1	0.54	0.2
pos_q501j6_q5hzj0	0.49	0.65	24.85	0.52	0.2
pos_q60795_q33dr3	0.22	0.72	20.39	0.4	0.2
pos_q61214_q8bla8	0.47	0.57	14.05	0.44	0.2
pos_q61221_p47811	0.43	0.84	20.32	0.38	0.2
pos_q61221_p47876	0.44	0.41	15.82	0.38	0.2
pos_q61221_q91w59	0.43	0.29	15.14	0.36	0.2
pos_q64505_p23950	0.88	0.19	13.31	0.59	0.2
pos_q68ff6_q8c310	0.47	0.26	18.38	0.33	0.2
pos_q7tns2_q3tl44	0.51	0.65	21.61	0.62	0.2
pos_q811j3_q9cub6	0.78	0.41	17.69	0.61	0.2
pos_q8bgw1_p35802	0.81	0.63	12.18	0.61	0.2
pos_q8bmj2_q8cgy8	0.74	0.67	23.66	0.51	0.2
pos_q8cdg1_p42227	0.69	0.67	14.22	0.49	0.2
pos_q8vik5_q6nzl8	0.34	0.5	20.69	0.37	0.2
pos_q91wn4_p97471	0.82	0.44	19.96	0.47	0.2
pos_q91zr3_p05132	0.28	0.81	21.15	0.49	0.2
pos_q9d074_q3tel6	0.44	0.39	16.76	0.31	0.2
pos_q9d2y4_q99mb1	0.62	0.68	24.17	0.54	0.2
pos_q9qui0_o88632	0.76	0.74	23.79	0.64	0.2
pos_q9r0g6_p61622	0.63	0.57	23.43	0.45	0.2
pos_q9z0x1_p11103	0.71	0.64	22.45	0.48	0.2
pos_o08856_q8vii8	0.26	0.33	16.48	0.28	0.2
pos_o70145_q9z183	0.39	0.79	19.47	0.53	0.2
pos_o70209_q9cq73	0.28	0.58	18.83	0.48	0.2
pos_p02463_o89090	0.26	0.17	24.61	0.27	0.2
pos_p05622_q04887	0.39	0.22	14.44	0.33	0.2
pos_p16054_p34152	0.48	0.45	22.93	0.36	0.2
pos_p23819_p06537	0.46	0.35	24.37	0.35	0.2
pos_p24270_p07901	0.86	0.65	17.43	0.46	0.2
pos_p51437_p30730	0.48	0.69	16.96	0.61	0.2
pos_p51437_q9eqz6	0.53	0.72	23.56	0.65	0.2
pos_p70326_p46938	0.41	0.17	5.97	0.3	0.2
pos_p98083_p02340	0.36	0.51	8.69	0.3	0.2
pos_q08857_p47809	0.85	0.65	17.82	0.56	0.2
pos_q08857_q9epk8	0.8	0.61	19.63	0.47	0.2
pos_q3uqs8_p48787	0.21	0.42	12.32	0.22	0.2
pos_q61527_p46938	0.39	0.16	12.49	0.36	0.2
pos_q8bjw6_q8r104	0.73	0.76	15.2	0.55	0.2
pos_q8bk64_p54763	0.39	0.36	20.17	0.33	0.2
pos_q8ciz9_q9qun7	0.62	0.64	15.48	0.48	0.2
pos_q8vck6_q8r4b8	0.71	0.51	22.18	0.45	0.2
pos_q8vii8_p63001	0.35	0.83	21.41	0.32	0.2
pos_q9cr42_q64727	0.56	0.82	15.73	0.68	0.2
pos_q9d593_o55028	0.49	0.77	19.12	0.56	0.2
pos_q9d906_q923e4	0.57	0.45	21.67	0.38	0.2
pos_q9esd7_q1xh17	0.59	0.52	29.38	0.53	0.2
pos_q9jhd1_p70340	0.39	0.62	17.47	0.34	0.2
pos_q9jjs0_q00731	0.55	0.27	15.08	0.47	0.2
pos_o35099_p70196	0.46	0.35	21.99	0.4	0.2
pos_o35099_p97493	0.47	0.57	21.88	0.45	0.2
pos_o35177_q8bun5	0.3	0.55	17.62	0.31	0.2
pos_o54724_q9esd7	0.17	0.64	25.55	0.59	0.2
pos_o88508_p37238	0.41	0.54	20.44	0.35	0.2
pos_o88839_p35441	0.51	0.49	20.18	0.39	0.2
pos_p01108_p11031	0.23	0.48	12.19	0.21	0.2
pos_p04202_a0a5f8mpu3	0.61	0.24	29.44	0.28	0.2
pos_p05132_p48787	0.82	0.41	20.72	0.59	0.2
pos_p09103_p35821	0.57	0.67	14.65	0.41	0.2
pos_p0c191_p48025	0.51	0.64	17.66	0.51	0.2
pos_p10417_p25446	0.63	0.36	13.67	0.37	0.2
pos_p11152_p23204	0.83	0.56	13.45	0.51	0.2
pos_p12791_p02340	0.79	0.52	15.93	0.52	0.2
pos_p15379_p04441	0.28	0.25	9.78	0.27	0.2
pos_p21275_q7tqa4	0.63	0.74	19.95	0.47	0.2
pos_p27577_q00731	0.31	0.28	10.21	0.25	0.2
pos_p27773_q60846	0.67	0.21	17.91	0.43	0.2
pos_p31750_p02340	0.73	0.53	15.09	0.48	0.2
pos_p31996_p37804	0.51	0.68	15.4	0.4	0.2
pos_p43120_p46938	0.27	0.17	9.82	0.21	0.2
pos_p47811_q9z1w9	0.84	0.52	21.12	0.44	0.2
pos_p54763_q9r1e0	0.41	0.21	19.67	0.34	0.2
pos_p60324_q8cg03	0.3	0.51	18.01	0.47	0.2
pos_p97367_p25425	0.31	0.23	14.94	0.24	0.2
pos_p97474_p34056	0.25	0.48	14.11	0.35	0.2
pos_q06507_p58281	0.2	0.53	13.45	0.45	0.2
pos_q07813_q9eqy0	0.63	0.43	18.36	0.39	0.2
pos_q08481_p29533	0.43	0.39	20.9	0.34	0.2
pos_q08775_p70340	0.27	0.58	15.95	0.35	0.2
pos_q499d0_p25425	0.28	0.2	9.69	0.23	0.2
pos_q60994_p41160	0.57	0.73	17.22	0.43	0.2
pos_q61371_p28741	0.4	0.58	19.43	0.37	0.2
pos_q61501_q03137	0.23	0.39	13.78	0.34	0.2
pos_q62432_q6a4j8	0.52	0.51	24.82	0.44	0.2
pos_q8bun5_p15806	0.59	0.2	15.1	0.34	0.2
pos_q8bun5_q02085	0.6	0.2	12.45	0.45	0.2
pos_q8c6l5_p97855	0.67	0.34	10.99	0.43	0.2
pos_q8cfz5_q923i7	0.74	0.75	23.02	0.52	0.2
pos_q8ci19_p26618	0.4	0.38	18.12	0.34	0.2
pos_q8k1m6_q811u4	0.48	0.59	20.73	0.42	0.2
pos_q8k1t1_p48281	0.46	0.61	18.48	0.45	0.2
pos_q8r0i0_p30554	0.78	0.71	19.65	0.62	0.2
pos_q8r4b8_p06804	0.49	0.56	20.41	0.44	0.2
pos_q9epc5_p34056	0.87	0.49	19.2	0.43	0.2
pos_q9erl9_q02566	0.48	0.43	29.13	0.39	0.2
pos_q9jhi8_q91va6	0.63	0.66	19.58	0.48	0.2
pos_q9jjn1_p23204	0.55	0.58	14.68	0.45	0.2
pos_q9wuu6_p49117	0.56	0.44	19.82	0.33	0.2
pos_q9wv60_q91yd4	0.77	0.74	25.42	0.64	0.2
pos_o08849_q91wd2	0.56	0.71	21.66	0.6	0.2
pos_o09039_q8c1b2	0.29	0.57	15.37	0.41	0.2
pos_o35219_q9jiq8	0.43	0.65	18.86	0.37	0.2
pos_o35607_q9r1e0	0.38	0.21	12.21	0.33	0.2
pos_p10417_p02340	0.67	0.53	10.99	0.4	0.2
pos_p11087_p22777	0.27	0.82	24.99	0.33	0.2
pos_p11103_q3tkt4	0.63	0.36	29.47	0.4	0.2
pos_p11404_p37238	0.85	0.54	17.58	0.48	0.2
pos_p12025_p34152	0.3	0.54	19.71	0.51	0.2
pos_p15314_q8cba2	0.35	0.85	16.81	0.67	0.2
pos_p17679_o09100	0.19	0.18	3.89	0.21	0.2
pos_p18572_p17742	0.51	0.92	16.37	0.41	0.2
pos_p19091_q9r190	0.36	0.41	18.81	0.3	0.2
pos_p19221_p16056	0.6	0.52	26.6	0.44	0.2
pos_p23188_p33434	0.6	0.77	21.92	0.46	0.2
pos_p27577_p33435	0.31	0.72	19.27	0.47	0.2
pos_p31750_p70196	0.68	0.36	19.2	0.41	0.2
pos_p31750_q8bfp9	0.67	0.79	20.83	0.49	0.2
pos_p35802_q91yt7	0.71	0.39	22.96	0.35	0.2
pos_p41160_p01193	0.7	0.16	9.56	0.38	0.2
pos_p52633_a2apb8	0.67	0.15	19.1	0.45	0.2
pos_p52792_q91x44	0.83	0.88	23.65	0.6	0.2
pos_p55772_o89090	0.77	0.17	16.85	0.41	0.2
pos_p60324_p52430	0.35	0.89	10.89	0.65	0.2
pos_p60324_q00731	0.36	0.3	17.79	0.25	0.2
pos_p60324_q9jhi8	0.3	0.62	17.01	0.53	0.2
pos_p61014_p20444	0.35	0.65	19.17	0.62	0.2
pos_p68404_q9r0c8	0.58	0.59	19.89	0.42	0.2
pos_p70196_q6zpj3	0.36	0.52	20.86	0.45	0.2
pos_p70302_q3uf25	0.34	0.56	16.81	0.31	0.2
pos_p97287_p42227	0.46	0.71	14.68	0.55	0.2
pos_q01147_p54763	0.2	0.44	17.58	0.38	0.2
pos_q01279_q9r0p9	0.39	0.79	25.73	0.37	0.2
pos_q3up38_p70302	0.27	0.26	10.8	0.24	0.2
pos_q3up87_p70338	0.82	0.23	20.56	0.4	0.2
pos_q61164_q9dd03	0.27	0.72	22.39	0.27	0.2
pos_q61221_p42227	0.42	0.71	19.09	0.46	0.2
pos_q61602_q62226	0.23	0.51	22.33	0.27	0.2
pos_q62073_p47811	0.48	0.84	19.35	0.43	0.2
pos_q63961_q91xl1	0.48	0.83	22.2	0.41	0.2
pos_q76mz3_p05132	0.75	0.82	19.97	0.57	0.2
pos_q80zd9_q8bfp9	0.53	0.76	17.75	0.44	0.2
pos_q811u4_p58281	0.59	0.48	22.99	0.4	0.2
pos_q8bgw1_q62093	0.86	0.38	8.55	0.65	0.2
pos_q8bkj9_p02340	0.71	0.52	12.5	0.44	0.2
pos_q8bqs5_q9es30	0.69	0.57	17.65	0.5	0.2
pos_q8bun5_a8y5g5	0.55	0.46	22.6	0.4	0.2
pos_q8c6l5_q3tbt3	0.64	0.62	19.89	0.47	0.2
pos_q8cfn5_p59110	0.24	0.39	12.74	0.32	0.2
pos_q8cih5_p27870	0.74	0.53	22.16	0.54	0.2
pos_q8k1m6_p05132	0.49	0.83	16.83	0.4	0.2
pos_q91z83_p50752	0.44	0.22	18.72	0.42	0.2
pos_q9jj26_q5du56	0.22	0.66	20.19	0.5	0.2
pos_q9quk6_o08712	0.66	0.45	20.54	0.53	0.2
pos_q9qxv8_q00731	0.31	0.29	8.54	0.23	0.2
pos_q9r0r4_p70658	0.23	0.75	10.96	0.66	0.2
pos_q9r1e0_q76mz3	0.21	0.76	17.57	0.46	0.2
pos_q9wtx6_q8k4k3	0.73	0.7	20.09	0.57	0.2
pos_q9wv60_p26450	0.79	0.32	25.2	0.4	0.2
pos_q9z0g4_q3ufb7	0.3	0.41	17.23	0.37	0.2
pos_q9z0j4_q00731	0.56	0.27	17.38	0.5	0.2
pos_q9z0j4_q9cxl1	0.57	0.69	25.6	0.54	0.2
pos_o55143_q9z0x4	0.7	0.4	24.58	0.47	0.2
pos_o88207_p11835	0.25	0.58	29.32	0.34	0.2
pos_p01132_p97333	0.6	0.49	16.31	0.45	0.2
pos_p15379_p34960	0.27	0.49	17.07	0.3	0.2
pos_p16092_o70458	0.4	0.44	17.83	0.35	0.2
pos_p25799_o89090	0.51	0.15	14.89	0.39	0.2
pos_p29352_q60803	0.4	0.36	16.73	0.31	0.2
pos_p33434_p25799	0.74	0.48	20.71	0.42	0.2
pos_p35235_q06806	0.64	0.37	17.97	0.35	0.2
pos_p48754_p01108	0.25	0.22	22.12	0.26	0.2
pos_p51791_q8ciz9	0.74	0.64	20.22	0.54	0.2
pos_p58281_p42227	0.51	0.68	22.52	0.42	0.2
pos_p59158_q80ue6	0.69	0.32	15.91	0.44	0.2
pos_p84309_d3yvf0	0.59	0.14	23.63	0.47	0.2
pos_q01341_q9z266	0.64	0.31	19.96	0.6	0.2
pos_q04207_o89090	0.46	0.18	20.72	0.29	0.2
pos_q08857_q01149	0.85	0.27	21.27	0.36	0.2
pos_q3u487_p42225	0.7	0.7	16.99	0.49	0.2
pos_q60631_q8cih5	0.52	0.75	23.23	0.68	0.2
pos_q60793_q8vim5	0.21	0.16	10.11	0.19	0.2
pos_q61176_p29477	0.89	0.47	22	0.41	0.2
pos_q6rhr9_q9wtr6	0.25	0.74	23.04	0.35	0.2
pos_q7tpv4_o70477	0.58	0.27	22.43	0.5	0.2
pos_q80u63_q5i043	0.58	0.45	22.95	0.39	0.2
pos_q80u93_q9cxl1	0.33	0.74	28.04	0.33	0.2
pos_q80yx1_p48787	0.3	0.38	26.57	0.3	0.2
pos_q8bjw6_q9qz05	0.65	0.4	26.21	0.36	0.2
pos_q8k2y9_p04202	0.39	0.57	15	0.37	0.2
pos_q8r0i0_q9z0f8	0.77	0.51	16.53	0.49	0.2
pos_q8r4b8_p42227	0.5	0.67	22.98	0.4	0.2
pos_q8r4b8_q02053	0.48	0.77	23.2	0.5	0.2
pos_q91z83_q9jm73	0.46	0.26	20.65	0.42	0.2
pos_q99mq3_q80u16	0.68	0.36	19.13	0.38	0.2
pos_q9cqy1_q91vr7	0.53	0.79	15.49	0.44	0.2
pos_q9et78_q9qzc1	0.47	0.71	17.08	0.5	0.2
pos_q9jmc3_o35219	0.48	0.42	18.68	0.37	0.2
pos_q9quk6_q9quk6	0.65	0.65	17.19	0.44	0.2
pos_q9z0j4_p60324	0.58	0.3	19.15	0.55	0.2
pos_o70145_q9est8	0.39	0.44	19.13	0.36	0.2
pos_o70309_q9z2h1	0.54	0.63	21.73	0.43	0.2
pos_o70343_q8vdq8	0.22	0.67	19.12	0.35	0.2
pos_o88393_p04202	0.38	0.56	17.38	0.34	0.2
pos_o88522_q9est8	0.29	0.44	15.79	0.36	0.2
pos_p08414_p97414	0.51	0.49	20.48	0.39	0.2
pos_p09803_o70176	0.38	0.23	17.19	0.36	0.2
pos_p0c605_q8bun5	0.73	0.58	22.37	0.53	0.2
pos_p11798_o88643	0.57	0.57	19.8	0.39	0.2
pos_p11835_q9wue3	0.58	0.78	21.2	0.49	0.2
pos_p11859_p34960	0.84	0.47	16.42	0.53	0.2
pos_p19785_q68ef6	0.45	0.23	18.25	0.31	0.2
pos_p22387_q8vhj7	0.3	0.21	17.58	0.21	0.2
pos_p22724_p15209	0.73	0.39	21.79	0.35	0.2
pos_p34971_q8r071	0.6	0.56	8.58	0.41	0.2
pos_p35378_q01776	0.67	0.71	17.37	0.54	0.2
pos_p70671_q9est8	0.51	0.45	22.26	0.37	0.2
pos_q00560_p43431	0.55	0.64	23	0.49	0.2
pos_q02248_p48615	0.64	0.8	23.11	0.52	0.2
pos_q08857_q02111	0.81	0.5	18.04	0.45	0.2
pos_q5eg47_p04202	0.52	0.62	20.81	0.4	0.2
pos_q5eg47_q9d3s5	0.5	0.81	18.87	0.41	0.2
pos_q6p8y1_q9equ3	0.48	0.7	21.66	0.62	0.2
pos_q6pcx7_q64729	0.54	0.63	12.21	0.41	0.2
pos_q6wkz7_q8bg60	0.52	0.58	19.84	0.4	0.2
pos_q80tl1_p03930	0.66	0.25	21.64	0.64	0.2
pos_q8bxk4_q8r2s1	0.6	0.49	7.21	0.36	0.2
pos_q8cgk3_q3tbl6	0.43	0.69	23.89	0.4	0.2
pos_q8qzx0_q7ts72	0.68	0.42	15.89	0.36	0.2
pos_q8vi38_p26450	0.77	0.3	23.38	0.36	0.2
pos_q91y86_q61083	0.76	0.54	18.93	0.41	0.2
pos_q91zz3_q8r4b8	0.11	0.51	17.38	0.48	0.2
pos_q9cr16_p42227	0.76	0.69	21.94	0.53	0.2
pos_q9cs00_p58771	0.29	0.26	10.15	0.27	0.2
pos_q9d5l7_e9q9k5	0.82	0.15	17.45	0.34	0.2
pos_q9dcb8_p26450	0.56	0.34	19.4	0.32	0.2
pos_q9eqp6_o08529	0.73	0.82	21.87	0.62	0.2
pos_q9est8_p25118	0.45	0.32	8.32	0.36	0.2
pos_q9est8_q3tbl6	0.46	0.72	20.45	0.41	0.2
pos_q9est8_q8vhl1	0.45	0.82	20.01	0.38	0.2
pos_q9qy42_q6wkz7	0.49	0.49	21.38	0.36	0.2
pos_q9wu72_p33896	0.46	0.53	16.38	0.44	0.2
pos_q9z1e3_q9est8	0.63	0.43	14.44	0.38	0.2
pos_q9z1p8_p09055	0.51	0.52	16.02	0.42	0.2
pos_q7tpr4_q80uf7	0.38	0.27	21.31	0.32	0.2
pos_q9ji91_q62165	0.46	0.32	21.96	0.35	0.2
pos_q8c0t9_d3yvf0	0.69	0.13	25.78	0.56	0.2
pos_q9qyc0_p60761	0.42	0.29	15.48	0.4	0.2
pos_p29754_p08414	0.72	0.55	19.1	0.42	0.2
pos_q64373_a2a7a1	0.59	0.27	13.68	0.27	0.2
pos_p18572_p11835	0.45	0.53	12.81	0.42	0.2
pos_q8vcf1_q9cr16	0.73	0.75	14.54	0.48	0.2
pos_q6p8y1_p34152	0.54	0.52	21.88	0.47	0.2
pos_o89110_q8r4b8	0.43	0.5	23.89	0.42	0.2
pos_q920n1_b2rws6	0.13	0.41	29.24	0.39	0.2
pos_q924x2_q8c878	0.8	0.65	21.13	0.59	0.2
pos_q91y47_p26618	0.59	0.37	19.65	0.36	0.2
pos_q71fd7_p26450	0.34	0.32	13.96	0.28	0.2
pos_o35930_p24063	0.39	0.52	15.06	0.42	0.2
pos_q9dcb8_p70313	0.54	0.63	23.86	0.59	0.2
pos_g5e8f1_p29533	0.56	0.31	6.99	0.44	0.2
pos_p42703_o70458	0.52	0.48	12.75	0.39	0.2
pos_o54785_p70335	0.45	0.36	20.55	0.33	0.2
pos_q9ji60_q9jjy3	0.55	0.66	21.04	0.55	0.2
pos_a0a0r4j0a9_q7ts72	0.54	0.41	22.95	0.46	0.2
pos_p25911_o89084	0.76	0.5	19.47	0.4	0.2
pos_q4vc33_q704y3	0.61	0.7	14.64	0.54	0.2
pos_b5b2u2_p05017	0.29	0.38	20.54	0.28	0.2
pos_p97305_o88942	0.29	0.3	15.69	0.27	0.2
pos_p25799_p70191	0.48	0.34	18.82	0.39	0.2
pos_q9est8_q80tm9	0.47	0.43	18.62	0.38	0.2
pos_q9cq11_p97295	0.72	0.52	10.67	0.62	0.2
pos_q08481_q9jia7	0.39	0.67	18.99	0.41	0.2
pos_q8bg99_q7ts72	0.28	0.42	8.94	0.33	0.2
pos_o70343_q9jif0	0.21	0.74	18.62	0.35	0.2
pos_q3u3w5_p97742	0.7	0.8	20.92	0.49	0.2
pos_p33587_q00560	0.68	0.54	21.98	0.44	0.2
pos_q9eps2_p10925	0.35	0.3	16.83	0.29	0.2
pos_q52kf3_o35309	0.32	0.44	16.61	0.28	0.2
pos_q52kf3_p63072	0.34	0.49	18.87	0.32	0.2
pos_q80uf7_q8vdd5	0.27	0.45	28.12	0.4	0.2
pos_q9quk6_q8bik6	0.64	0.68	14.62	0.45	0.2
pos_q6dic6_q60867	0.28	0.3	23.84	0.28	0.2
pos_q0kl01_q8r071	0.32	0.59	15.5	0.41	0.2
pos_p57780_q64727	0.41	0.82	19.43	0.54	0.2
pos_q61618_q8c0t9	0.7	0.66	24.6	0.6	0.2
pos_q9cwr0_q9es83	0.45	0.48	16.35	0.36	0.2
pos_q8bh66_o70325	0.6	0.77	21.61	0.49	0.2
pos_o35607_q6p9q6	0.37	0.27	19.95	0.3	0.2
pos_e9pwh2_q9est8	0.35	0.42	22.37	0.32	0.2
pos_p15379_p34960	0.28	0.54	19.62	0.32	0.2
pos_q61735_p97927	0.57	0.39	23.36	0.38	0.2
pos_q3uu96_q3up38	0.39	0.28	25.27	0.35	0.2
pos_p11087_p11835	0.27	0.61	23.48	0.36	0.2
pos_q9eqh2_o35904	0.85	0.86	23.68	0.55	0.2
pos_q9eqy0_q6ns57	0.43	0.5	22.91	0.41	0.2
pos_o88783_q8vcg9	0.64	0.18	26.93	0.6	0.2
pos_q06194_o35943	0.61	0.54	28.68	0.58	0.2
pos_q9cs72_q91ym2	0.21	0.39	29.87	0.34	0.2
pos_o70325_q9jhi8	0.76	0.61	21.72	0.51	0.2
pos_q8vdj3_q8vcc9	0.26	0.34	17.59	0.26	0.2
pos_q9jii1_o35904	0.57	0.85	20.99	0.61	0.2
pos_p42703_o70458	0.51	0.49	9.92	0.39	0.2
pos_q6ns57_q7ts72	0.52	0.4	22.06	0.44	0.2
pos_q6ns57_q3tbt3	0.51	0.67	20.96	0.46	0.2
pos_q6ns57_p25118	0.53	0.31	21.64	0.47	0.2
pos_o70145_q5hzj0	0.39	0.64	20.2	0.53	0.2
pos_p97305_q8k120	0.29	0.32	4.82	0.27	0.2
pos_p25799_q8bw70	0.47	0.53	22.22	0.39	0.2
pos_q8r4b8_q5hzj0	0.51	0.62	25.75	0.47	0.2
pos_q8vii8_p26618	0.32	0.38	24.62	0.31	0.2
pos_q5eg47_q61037	0.59	0.53	28.33	0.47	0.2
pos_p63318_q91yd4	0.51	0.73	26.09	0.58	0.2
pos_q99m15_q923j1	0.6	0.56	15.81	0.52	0.2
pos_q9bcz4_q6ns57	0.27	0.54	21.86	0.51	0.2
pos_o55042_q62261	0.15	0.34	29.35	0.34	0.2
pos_q52kf3_q6ns57	0.26	0.52	25.54	0.44	0.2
pos_p61161_q64727	0.8	0.84	19.63	0.67	0.2
pos_q8c0t9_q9jkd3	0.68	0.6	24.58	0.63	0.2
pos_q80tl1_q9cqy5	0.6	0.46	21.75	0.53	0.2
pos_p18762_g3uyx5	0.58	0.46	22.34	0.42	0.2
pos_p39655_q80w65	0.9	0.75	22.12	0.55	0.2
pos_q91yi4_q01279	0.67	0.38	20.57	0.35	0.2
pos_q9qwy8_p97428	0.36	0.62	22.28	0.34	0.2
pos_q920v1_q9qxh4	0.74	0.59	18.56	0.51	0.2
pos_o09047_q6zpr5	0.52	0.56	23.07	0.43	0.2
pos_p11798_p70414	0.55	0.54	20.34	0.43	0.2
pos_p28652_p97305	0.54	0.29	21.49	0.31	0.2
pos_p08414_o89019	0.54	0.46	24.01	0.4	0.2
pos_p15116_p26231	0.37	0.54	20.32	0.38	0.2
pos_p12657_g3uyx5	0.59	0.46	19.56	0.41	0.2
pos_q9erz3_q6r891	0.52	0.27	14.46	0.34	0.2
pos_p49582_q62120	0.64	0.68	20.86	0.55	0.2
pos_q9qz82_q6t3u4	0.79	0.78	27.57	0.63	0.2
pos_q8r4a3_q07797	0.2	0.7	17.31	0.41	0.2
